lokasi,jumlah_kamar_tidur,jumlah_kamar_mandi,luas_bangunan,harga
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng, Jakarta Pusat",1,1,33,1650000000
"Menteng, Jakarta Pusat",2,1,30,375000000
"Menteng, Jakarta Pusat",1,1,33,1750000000
"Menteng Atas, Jakarta Pusat",3,2,168,4500000000
"Menteng, Jakarta Pusat",3,2,112,5500000000
"Menteng, Jakarta Pusat",2,1,58,2800000000
"Menteng, Jakarta Pusat",2,1,60,3100000000
"Menteng, Jakarta Pusat",2,1,61,2700000000
"Cikini, Jakarta Pusat",1,1,33,1350000000
"Cikini, Jakarta Pusat",1,1,28,1000000000
"Menteng, Jakarta Pusat",2,2,72,4099999999
"CBD Area, Jakarta Pusat",2,2,102,2029999999
"Menteng Atas, Jakarta Pusat",1,1,45,800000000
"Menteng, Jakarta Pusat",1,1,30,1500000000
"Menteng, Jakarta Pusat",2,2,157,6200000000
"Menteng, Jakarta Pusat",2,2,104,4000000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,1,64,3000000000
"Menteng, Jakarta Pusat",2,2,72,1250000000
"Menteng, Jakarta Pusat",2,2,64,3000000000
"Menteng, Jakarta Pusat",2,1,58,2800000000
"Cikini, Jakarta Pusat",1,1,33,1350000000
"Cikini, Jakarta Pusat",2,1,60,2500000000
"Menteng, Jakarta Pusat",2,1,60,3100000000
"Menteng, Jakarta Pusat",2,2,120,4000000000
"Cikini, Jakarta Pusat",2,1,60,2000000000
"Menteng, Jakarta Pusat",1,2,55,3000000000
"Menteng, Jakarta Pusat",2,2,65,2000000000
"Cikini, Jakarta Pusat",2,1,64,3350000000
"Menteng, Jakarta Pusat",1,1,52,1900000000
"CBD Area, Jakarta Pusat",2,1,50,1400000000
"Cikini, Jakarta Pusat",2,2,72,3600000000
"Cikini, Jakarta Pusat",2,1,64,3300000000
"Menteng, Jakarta Pusat",1,1,28,1200000000
"Menteng, Jakarta Pusat",2,2,61,2500000000
"Cikini, Jakarta Pusat",3,2,112,5800000000
"Menteng, Jakarta Pusat",1,1,32,1350000000
